"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV3593","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA,NA
"ASV379","Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031 Order",NA,NA,NA
"ASV3407","Bacteria","Chloroflexi","Anaerolineae","Anaerolineae Class","Anaerolineae Class",NA,NA,NA
"ASV168","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenales Order",NA,NA,NA
"ASV4819","Bacteria","Chloroflexi","KD4-96","KD4-96 Class","KD4-96 Class",NA,NA,NA
"ASV1690","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,NA
"ASV3134","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriae Class","Acidobacteriae Class",NA,NA,NA
"ASV2269","Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","PAUC26f Order",NA,NA,NA
"ASV1120","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"ASV4022","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA,NA
"ASV1710","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae",NA,NA,NA
"ASV417","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","PRD18C08",NA,NA,NA
"ASV4643","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallales Order",NA,NA,NA
"ASV3937","Bacteria","Verrucomicrobiota","Lentisphaeria","P.palmC41","P.palmC41 Order",NA,NA,NA
"ASV728","Bacteria","Verrucomicrobiota","Verrucomicrobiota Phylum","Verrucomicrobiota Phylum","Verrucomicrobiota Phylum",NA,NA,NA
"ASV625","Bacteria","Verrucomicrobiota","Lentisphaeria","SS1-B-02-17","SS1-B-02-17 Order",NA,NA,NA
"ASV4720","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaerales Order",NA,NA,NA
"ASV1979","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",NA,NA,NA
"ASV123","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","WCHB1-41 Order",NA,NA,NA
"ASV341","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"ASV4355","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiales Order",NA,NA,NA
"ASV618","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA,NA
"ASV3468","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae",NA,NA,NA
"ASV426","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA,NA
"ASV2692","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4 marine group","Arctic97B-4 marine group Order",NA,NA,NA
"ASV529","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae",NA,NA,NA
"ASV5515","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae",NA,NA,NA
