"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV123","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","NA",NA,NA,NA
"ASV341","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA,NA
"ASV2250","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","NA",NA,NA,NA
"ASV618","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA,NA
"ASV3468","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae",NA,NA,NA
"ASV426","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA,NA
"ASV2692","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4 marine group","NA",NA,NA,NA
"ASV529","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae",NA,NA,NA
"ASV2320","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae",NA,NA,NA
"ASV463","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA,NA,NA
"ASV1530","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","NA",NA,NA,NA
"ASV261","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NA",NA,NA,NA
"ASV1286","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Bernardetiaceae",NA,NA,NA
"ASV399","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","NA",NA,NA,NA
"ASV51","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae",NA,NA,NA
"ASV271","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","NA",NA,NA,NA
"ASV42","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA,NA
"ASV172","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae",NA,NA,NA
"ASV91","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA
"ASV3993","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae",NA,NA,NA
"ASV1518","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA,NA
"ASV1232","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","NA",NA,NA,NA
"ASV800","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA
"ASV527","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,NA,NA
"ASV700","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,NA
"ASV1023","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA,NA
"ASV436","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2",NA,NA,NA
"ASV1146","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA,NA
"ASV729","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NA",NA,NA,NA
"ASV3669","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA,NA
"ASV58","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA,NA
"ASV462","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA
"ASV546","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7 marine group",NA,NA,NA
"ASV386","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",NA,NA,NA
"ASV4810","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Schleiferiaceae",NA,NA,NA
"ASV138","Bacteria","Bacteroidota","Bacteroidia","NA","NA",NA,NA,NA
"ASV64","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA
"ASV4660","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae",NA,NA,NA
"ASV1032","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,NA
"ASV2328","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA,NA
"ASV949","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA,NA
"ASV2659","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","NA",NA,NA,NA
"ASV2083","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA,NA,NA
"ASV1073","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA,NA
"ASV1718","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA,NA
"ASV191","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA,NA
"ASV3118","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","NA",NA,NA,NA
"ASV513","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae",NA,NA,NA
"ASV3858","Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","NA",NA,NA,NA
"ASV651","Bacteria","Firmicutes","NA","NA","NA",NA,NA,NA
"ASV11","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales Incertae Sedis",NA,NA,NA
"ASV110","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae",NA,NA,NA
"ASV135","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae",NA,NA,NA
"ASV466","Bacteria","Cyanobacteria","Cyanobacteriia","Limnotrichales","Limnotrichaceae",NA,NA,NA
"ASV533","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales Incertae Sedis",NA,NA,NA
"ASV2380","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","NA",NA,NA,NA
"ASV18","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,NA
"ASV979","Bacteria","Cyanobacteria","Cyanobacteriia","NA","NA",NA,NA,NA
